timestamp,si(t),a(t),mm(t),mt(t),mq(t),mr(t),r(t),cm(t),ct(t),cq(t),cr(t),em(t),et(t),q(t),zmm(t),zmt(t),zmq(t),zmr(t)
0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.23759157548296142,-5.6959110040245395,7.090772917247462e-6,7.090772917247461e-6,7.090772917247464e-6,7.090772917247465e-6,9.985921656314598,0.006866758904628809,0.006866758904628808,0.006866758904628808,0.0068667589046288125,0.014431601583447237,0.014431601583447244,0.014431601583447248,0.0,0.0,0.0,0.0
2.0,0.23759285568566169,-45.4104010763359,1.3002411627786315e-5,1.3002411627786302e-5,1.3002411627786327e-5,1.300241162778634e-5,9.998607399522339,0.013732598059928606,0.013732598059928585,0.013732598059928604,0.013732598059928604,0.05770810802334772,0.057708108023347755,0.05770810802334777,0.0,0.0,0.0,0.0
3.0,0.23759282008133362,-98.72885042665534,1.8849302800619338e-5,1.8849302800619287e-5,1.8849302800619124e-5,1.8849302800619324e-5,10.038014860376112,0.020590081832292023,0.020590081832292016,0.02059008183229181,0.020590081832292016,0.129751790404449,0.12975179040444923,0.12975179040444879,0.0,0.0,0.0,0.0
4.0,0.23759230199169834,-155.16451016133277,2.457799173324675e-5,2.4577991733246718e-5,2.457799173324412e-5,2.4577991733246678e-5,10.104083346825615,0.027438196949204154,0.027438196949204137,0.027438196949202007,0.02743819694920416,0.23049286027580157,0.23049286027580193,0.23049286027579793,0.0,0.0,0.0,0.0
5.0,0.23759295151701826,-204.24612003949872,3.014357329388565e-5,3.0143573293885633e-5,3.0143573293867744e-5,3.0143573293885674e-5,10.19672520862974,0.03427438312073375,0.03427438312073375,0.03427438312071803,0.034274383120733797,0.35982580100422845,0.35982580100422884,0.3598258010041953,0.0,0.0,0.0,0.0
6.0,0.23759787652852626,-235.54505883985183,3.5505521744256055e-5,3.550552174425599e-5,3.550552174416888e-5,3.550552174425604e-5,10.315825856979494,0.041095954498850805,0.04109595449885072,0.04109595449876989,0.04109595449885079,0.5176155176602458,0.5176155176602462,0.5176155176600422,0.0,0.0,0.0,0.0
7.0,0.2375917008043465,-238.69521406720818,4.0628410030610916e-5,4.062841003061103e-5,4.062841003028022e-5,4.062841003061104e-5,10.46124412074078,0.04790021387531037,0.047900213875310516,0.047900213874989064,0.04790021387531051,0.7036982133834618,0.7036982133834625,0.7036982133825144,0.0,0.0,0.0,0.0
8.0,0.2375849239825211,-203.41253366436723,4.5482728431680795e-5,4.5482728431680855e-5,4.548272843062974e-5,4.5482728431680774e-5,10.632812994210486,0.05468448625527731,0.05468448625527744,0.054684486254212766,0.05468448625527736,0.9178823401401943,0.9178823401401965,0.9178823401366126,0.0,0.0,0.0,0.0
9.0,0.2375996545237485,-119.49832461502433,5.003608291623454e-5,5.003608291623477e-5,5.003608291333207e-5,5.003608291623471e-5,10.830328465257383,0.06144594288364152,0.06144594288364177,0.06144594288058435,0.06144594288364168,1.1599357979097578,1.1599357979097602,1.1599357978981868,0.0,0.0,0.0,0.0
10.0,0.23759338844057007,23.391496936615706,5.415122974404154e-5,5.4151229744041205e-5,5.415122973687992e-5,5.415122974404114e-5,11.053351578691679,0.06817838757533716,0.0681783875753368,0.06817838756749867,0.06817838757533662,1.4293587238252854,1.4293587238252865,1.429358723792261,0.0,0.0,0.0,0.0
11.0,0.23759331159395958,234.30467359516823,5.822084785512231e-5,5.8220847855122104e-5,5.822084783889156e-5,5.822084785512209e-5,11.30228829450649,0.07488988783139036,0.07488988783139017,0.07488988781301868,0.07488988783138988,1.7266234837240277,1.7266234837240282,1.726623483638809,0.0,0.0,0.0,0.0
12.0,0.2375933209829837,523.9121937256252,6.18251833056466e-5,6.182518330564639e-5,6.18251832716037e-5,6.18251833056461e-5,11.57623491642047,0.08156739082036604,0.08156739082036571,0.08156739078044303,0.08156739082036532,2.0506997097485447,2.0506997097485455,2.0506997095463557,0.0,0.0,0.0,0.0
13.0,0.23759332913459497,901.5087073563237,6.51009530253684e-5,6.510095302536806e-5,6.510095295831684e-5,6.510095302536771e-5,11.875112077914533,0.0882119428361403,0.08821194283614002,0.08821194275470857,0.08821194283613965,2.4015063643077164,2.4015063643077172,2.4015063638607486,0.0,0.0,0.0,0.0
