timestamp,si(t),a(t),mm(t),mt(t),mq(t),mr(t),r(t),cm(t),ct(t),cq(t),cr(t),em(t),et(t),q(t),zmm(t),zmt(t),zmq(t),zmr(t)
17.0,0.2116461980508774,18.47702435451343,1.5258534293898812e-8,1.5258534293898855e-8,1.525853429389879e-8,1.525853429389882e-8,10.000240783300278,2.3431752570195492e-5,2.343175257019554e-5,2.3431752570195445e-5,2.3431752570195492e-5,0.00036056692854318005,0.00036056692854318,0.0003605669285431799,0.0,0.0,0.0,0.0
18.0,0.21271300738494844,20.857106874515797,1.8161451178592957e-8,1.8161451178592812e-8,1.8161451178592938e-8,1.8161451178592848e-8,10.000299992433664,2.5680181451108504e-5,2.568018145110839e-5,2.5680181451108538e-5,2.5680181451108433e-5,0.00043408242559661234,0.0004340824255966121,0.0004340824255966123,0.0,0.0,0.0,0.0
19.0,0.213093570964288,23.73442791995147,2.1823322805230547e-8,2.182332280523044e-8,2.1823322805230614e-8,2.182332280523046e-8,10.000373959594311,2.819147810872389e-5,2.8191478108723786e-5,2.8191478108723973e-5,2.8191478108723813e-5,0.0005246388989302879,0.0005246388989302873,0.0005246388989302884,0.0,0.0,0.0,0.0
20.0,0.21319769653256695,27.220073914257515,2.6451762087975804e-8,2.645176208797569e-8,2.6451762087975814e-8,2.645176208797573e-8,10.000466969194992,3.101082814704497e-5,3.1010828147044846e-5,3.101082814704504e-5,3.1010828147044914e-5,0.0006370493161607352,0.000637049316160734,0.0006370493161607363,0.0,0.0,0.0,0.0
21.0,0.21323268341133886,31.460598877617937,3.235534221301256e-8,3.235534221301235e-8,3.235534221301252e-8,3.2355342213012584e-8,10.000584684922794,3.4190082517948796e-5,3.4190082517948566e-5,3.419008251794875e-5,3.4190082517948796e-5,0.0007776420957114461,0.0007776420957114442,0.0007776420957114463,0.0,0.0,0.0,0.0
22.0,0.21322118170568943,36.64718259130902,3.996098560808075e-8,3.9960985608080315e-8,3.9960985608080626e-8,3.996098560808066e-8,10.000734757581416,3.778831101222005e-5,3.778831101221969e-5,3.7788311012219936e-5,3.7788311012220065e-5,0.0009549186832828525,0.000954918683282849,0.0009549186832828531,0.0,0.0,0.0,0.0
23.0,0.21321876673876858,43.027265707972035,4.972844367023718e-8,4.9728443670236855e-8,4.9728443670237086e-8,4.972844367023722e-8,10.000927057914355,4.187387528133189e-5,4.1873875281331616e-5,4.187387528133178e-5,4.1873875281331853e-5,0.0011798134487699564,0.0011798134487699514,0.0011798134487699579,0.0,0.0,0.0,0.0
24.0,0.21321330352219975,50.92701443349131,6.24221677038111e-8,6.242216770381107e-8,6.242216770381108e-8,6.242216770381099e-8,10.001174940429335,4.652283977493679e-5,4.65228397749368e-5,4.6522839774936784e-5,4.6522839774936696e-5,0.0014670491046711869,0.0014670491046711823,0.0014670491046711884,0.0,0.0,0.0,0.0
25.0,0.2132213101231872,60.771898708178675,7.897281865310081e-8,7.897281865310093e-8,7.897281865310087e-8,7.897281865310059e-8,10.001496388119689,5.181721206673903e-5,5.181721206673905e-5,5.181721206673906e-5,5.1817212066738954e-5,0.00183636300837719,0.001836363008377185,0.0018363630083771923,0.0,0.0,0.0,0.0
26.0,0.21322343653500334,73.11662285606866,1.0038953167951926e-7,1.0038953167951918e-7,1.0038953167951932e-7,1.00389531679519e-7,10.001914282414821,5.784961966659721e-5,5.784961966659722e-5,5.784961966659721e-5,5.784961966659708e-5,0.002312818304794424,0.0023128183047944183,0.0023128183047944274,0.0,0.0,0.0,0.0
